ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Económico,Negativo,Costs,Clippers,,Cada 5 años,clipper,2,2,2,207,207,207,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB02,Económico,Negativo,Costs,Chainsaws,,Cada 5 años,chainsaw,1,1,1,517.5,517.5,517.5,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB03,Económico,Negativo,Costs,Tools,,Cada 5 años,lot,1,1,1,1035,1035,1035,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB04,Económico,Negativo,Costs,Water Pump,,Cada 5 años,water pump,1,1,1,310.5,310.5,310.5,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB05,Económico,Negativo,Costs,Land,,Anual,hectare,10,10,10,379.5,379.5,379.5,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB06,Económico,Negativo,Costs,Lookout,,Inicial (única vez),lookout,1,1,1,1390.971,1390.971,1390.971,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB07,Económico,Negativo,Costs,Sauna,,Inicial (única vez),sauna,1,1,1,634.11,634.11,634.11,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB08,Económico,Negativo,Costs,Zip line,,Inicial (única vez),zip line,1,1,1,7452,7452,7452,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB09,Económico,Negativo,Costs,Cabins,,Inicial (única vez),cabin,5,5,5,2258.232,2258.232,2258.232,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
CB10,Económico,Negativo,Costs,Guardhouse,,Inicial (única vez),lot,1,1,1,1414.5,1414.5,1414.5,ene-2020,dic-2034,,Lineal,,,,http://www.itzonamaya.edu.mx/web_biblio/archivos/res_prof/ige/ige-2015-26.pdf
