ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,Fuentes
CB22,Económico,Negativo,Inversión inicial,Instalación equipo nuevo (FLOURECENTES 200 Watts  por LED 150 Watts),,Inicial (única vez),equipo,2,2,2,4547.95,4093.155,5457.54,ene-2020,dic-2039,,Lineal,,,,https://ledlab.com.mx/wp-content/uploads/CAT%C3%81LOGO-P%C3%9ABLICO2019.pdf
CB60,Económico,Positivo,Reposición de equipos,Ahorro en reposición (FLOURECENTES 200 Watts  por LED 150 Watts),,Anual,equipo,2,2,2,77.71094586,69.93985128,93.25313504,ene-2020,dic-2039,,Lineal,,,,CONUEE
CB98,Económico,Positivo,Ahorros,Ahorro en consumo variable (FLOURECENTES 200 Watts  por LED 150 Watts),,Cada mes,kwh,36,36,36,2.152,1.503,2.801,ene-2020,dic-2039,,Lineal,,,,https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/Tarifas/tarifas_negocio.asp
CB136,Económico,Positivo,Ahorros,Ahorro en consumo distr. (FLOURECENTES 200 Watts  por LED 150 Watts),,Cada mes,kw,0.1,0.1,0.1,148.5,148.5,148.5,ene-2020,dic-2039,,Lineal,,,,https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/Tarifas/tarifas_negocio.asp
CB174,Ambiental,Positivo,Externalidades,Reducción emisiones (FLOURECENTES 200 Watts  por LED 150 Watts),,Cada mes,kgCO2,18.972,18.972,18.972,1.17,0.78,1.56,ene-2020,dic-2039,1,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/442910/Aviso_Factor_de_Emisiones_2018.pdf
