ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Económico,Negativo,Costos,Estudio técnico,,Inicial (única vez),estudio,1,1,1,50000,50000,50000,ene-2020,dic-2059,,Lineal,,,,Supuesto de 1 millón de pesos por estudio
CB02,Económico,Negativo,Costos,Inversión inicial (áreas verdes),,Anual,m2,54000,54000,54000,4.744322907,4.184650922,5.303994892,ene-2020,dic-2039,,Lineal,,,,9m2 per capita según https://www.witpress.com/Secure/elibrary/papers/SDP16/SDP16031FU1.pdf y considerando 275640 habitantes de acuerdo con https://iieg.gob.mx/contenido/Municipios/PuertoVallarta.pdf precio por m2 de http://seduvi.proyectosurbanos.cdmx.gob.mx/projects/19/pdfs/Anexo4EvaluacioSocioeconomicaProyectoNoSolicitadoDeMejoramientoAlEntornoUrbanoDeSanLazaro.pdf y actualización de precios de http://repositorio.uchile.cl/bitstream/handle/2250/137671/An%C3%A1lisis%20costo-efectividad%20para%20una%20propuesta%20de%20areas%20verdes%20sustentables%20en%20el%20%C3%A1rea%20Metropolitana%20de%20Santiago%20%28AMS%29.pdf?sequence=1&isAllowed=y además se restan las áreas verdes existentes que ascienden a 0.54 m2 per cápita de https://imco.org.mx/wp-content/uploads/2015/10/2015-Ciudades_Competitivas-Documento.pdf Además considera un crédito a 20 años a una tasa de 5% real anual
CB03,Económico,Negativo,Costos,Mantenimiento,,Anual,m2,54000,54000,54000,2.9562375,2.6075,3.304975,ene-2021,dic-2059,,Lineal,,,,extrapolado de http://repositorio.uchile.cl/bitstream/handle/2250/137671/An%C3%A1lisis%20costo-efectividad%20para%20una%20propuesta%20de%20areas%20verdes%20sustentables%20en%20el%20%C3%A1rea%20Metropolitana%20de%20Santiago%20%28AMS%29.pdf?sequence=1&isAllowed=y
CB05,Ambiental,Positivo,Externalidades,Disponibilidad a pagar por vivir cerca del parque,,Anual,person,6000,6000,6000,33.13425,14.145,52.1235,ene-2021,dic-2059,1,Lineal,,,,usando resultados de http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252010000100006 (para el dato máximo) y de http://www.redalyc.org/pdf/510/51032370002.pdf (para el dato mínimo) Considera a la población total de Puerto Vallarta Estos estimados están en el rango de https://www.sciencedirect.com/science/article/pii/S0301479714000346
CB06,Ambiental,Positivo,Externalidades,Infiltración,1,Anual,hectárea,5.4,5.4,5.4,3187.408492,3187.408492,3187.408492,ene-2021,dic-2059,1,Lineal,,,,Considerando datos de https://www.sciencedirect.com/science/article/pii/S0301479712000163
CB07,Ambiental,Positivo,Externalidades,Purificación de aire,,Anual,t PM,81,81,81,0,0,0,ene-2021,dic-2059,1,Lineal,,,,Considera reducción de emisiones de https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf pero no se asigna valor porque la calidad del aire de PV es buena
CB08,Ambiental,Positivo,Externalidades,Microclima (ahorros en aire acondicionado),,Anual,hogar,1500,1500,1500,1400,1000,1800,ene-2021,dic-2059,1,Lineal,,,,Considerando hogares de https://iieg.gob.mx/contenido/Municipios/PuertoVallarta.pdf y valor económico de https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf
CB09,Ambiental,Positivo,Externalidades,Reducción del ruido,,Anual,hogar,1500,1500,1500,0,0,0,ene-2021,dic-2059,1,Lineal,,,,Se reduce el ruido en 2 dB pero no hay estimado económico preciso se toma de https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf
CB10,Ambiental,Positivo,Externalidades,Drenaje de agua,,Anual,hectárea,0,0,0,0,0,0,ene-2021,dic-2059,1,Lineal,,,,No se pudo obtener un estimado https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf
