ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Económico,Positivo,Externalidades,Reducción huella ecológica,1,Anual,ton,14600,3650,16060,2200,1300,3100,ene-2020,dic-2039,1,Bass (Modelo de difusión),0.01,0.16,1,Reducción en la generación de residuos de https://doi.org/10.1177/0013916513515239 costo de manejo de residuos de https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf generación de residuos con información del municipio
CB02,Económico,Negativo,Costos,Inversión inicial,,Inicial (única vez),lote,1,1,1,12000000,8000000,16000000,ene-2020,dic-2039,,Lineal,,,,https://www.am.com.mx/2018/10/07/local/entregan-centro-de-educacion-ambiental-primero-de-su-tipo-en-guanajuato-518756 y https://www.diariocordoba.com/noticias/cordobalocal/centro-educacion-ambiental-tendra-inversion-660-224_176679.html y http://www.milenio.com/estados/inauguraran-el-centro-de-educacion-ambiental
CB03,Económico,Negativo,Costos,O&M,,Anual,lote,1,1,1,2400000,1600000,3200000,ene-2020,dic-2039,,Lineal,,,,Supone 20% de la inversión inicial
