ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Ambiental,Positivo,Externalities,Avoided costs,1,Anual,acre,23.471788,23.471788,23.471788,3013.00,278.00,16406.00,ene-2020,dic-2069,,Taylor,1,0.02708333333,0,29000 burned in 2011 https://amandala.com.bz/news/29000-acres-burned-out-from-over-25-forest-fires-in-mountain-pine-ridge/ asuumption of one forest fire of this type each 50 years  assumption of 300% increase of forest fires at 2030 __ values of ecosystem services from https://www.sciencedirect.com/science/article/pii/S2212041612000101 assumption of 10% of burned hectares that are forested
CB02,Económico,Negativo,Costs,Detection system,,Inicial (única vez),lot,1,1,1,1000000,1000000,1000000,ene-2020,dic-2069,1,Lineal,,,,Cost of system from Mexican context https://www.informador.mx/jalisco/Gastan-mas-en-apagar-los-incendios-intencionales-por-fogatas-y-fumadores-20180322-0036.html
CB03,Económico,Negativo,Costs,O&M,,Anual,lot,1,1,1,200000,200000,200000,ene-2021,dic-2069,,Lineal,,,,Assumption O&M of 20% per year
