ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Económico,Positivo,Ingresos,Venta de ladrillos,,Anual,millar,576,576,576,2800,2800,2800,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB02,Económico,Negativo,Costos variables,Materias primas,,Anual,lote,1,1,1,917554,917554,917554,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB03,Económico,Negativo,Costos variables,Mano de obra,,Anual,lote,1,1,1,213719,213719,213719,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB04,Económico,Negativo,Costos variables,Renta de terreno,,Anual,terreno,1,1,1,19200,355,355,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB05,Económico,Negativo,Costos variables,Costo de ventas,,Anual,lote,1,1,1,338918,338918,338918,ene-2020,dic-2029,,Lineal,,,,Utilidades netas de https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p. 78
CB06,Económico,Negativo,Costos variables,Mantenimiento,,Anual,lote,1,1,1,1000,1000,1000,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB07,Económico,Negativo,Costos variables,Capacitación,,Inicial (única vez),lote,1,1,1,90000,90000,90000,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB08,Económico,Negativo,Costos variables,Inversión inicial,,Inicial (única vez),lote,1,1,1,116000,112800,119200,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB09,Económico,Negativo,Costo de oportunidad,Ingresos de ladrillera tradicional,,Anual,millar,576,576,576,359.41,0,497,ene-2020,dic-2029,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-167
CB10,Ambiental,Positivo,Externalidades,Emisiones evitadas,1,Anual,tCO2e,100.6160486,100.6160486,100.6160486,1170,780,1560,ene-2020,dic-2029,1,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/451770/LADRILLERAS_final-08.04.19.pdf p-175
