ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB02,Económico,Positivo,Ahorros,Reducción consumo energético (consumo variable),,Anual,kWh/m2,73.06,51.74,115.206,1.282,0.917,1.647,ene-2020,dic-2069,,Lineal,,,,Tarifas de CFE https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/TarifasCRENegocio/Negocio.aspx cantidades de https://doi.org/10.1016/j.buildenv.2010.11.009 y de https://www.gob.mx/cms/uploads/attachment/file/455552/cuaderno3nvociclo_2.pdf
CB03,Económico,Positivo,Externalidades,Reducción de emisiones,1,Anual,kgCO2e/m2,38.50262,27.26698,60.713562,1.17,0.78,1.56,ene-2020,dic-2069,1,Lineal,,,,Factor eléctrico: https://www.gob.mx/cms/uploads/attachment/file/442910/Aviso_Factor_de_Emisiones_2018.pdf Precio del carbono: http://documents.worldbank.org/curated/en/621721519940107694/pdf/2017-Shadow-Price-of-Carbon-Guidance-Note.pdf
CB04,Económico,Negativo,Costos,Costo incremental construcción,,Inicial (única vez),m2,1,1,1,803.881,31.292,1576.47,ene-2020,dic-2069,,Lineal,,,,Costo m2 construcción https://www.varela.com.mx/arch/CostosPorMetroCuadradoDeConstruccion2.pdf costo incremental de https://media.alpinme.com/pws/LEED-Costs-Benefits-ROI1.pdf
CB05,Económico,Positivo,Ahorros,Ahorro en costos de mantenimiento,,Anual,m2,1,1,1,2.0900906,0.0813592,4.098822,ene-2020,dic-2069,,Lineal,,,,Supuesto de mantenimiento de 2% por año_ costo incremental de https://www.varela.com.mx/arch/CostosPorMetroCuadradoDeConstruccion2.pdf y ahorro de https://media.alpinme.com/pws/LEED-Costs-Benefits-ROI1.pdf
