ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Económico,Negativo,Costs,Technical study,,Inicial (única vez),study,1,1,1,50000,50000,50000,ene-2020,dic-2059,,Lineal,,,,Assumption of 50k USD per study 
CB02,Económico,Negativo,Costs,Initial investment (green areas),,Anual,m2,39000,39000,39000,4.744322907,4.184650922,5.303994892,ene-2020,dic-2039,,Lineal,,,,9m2 per capita according to https://www.witpress.com/Secure/elibrary/papers/SDP16/SDP16031FU1.pdf considering 6k inhabitants price per m2 from http://seduvi.proyectosurbanos.cdmx.gob.mx/projects/19/pdfs/Anexo4EvaluacioSocioeconomicaProyectoNoSolicitadoDeMejoramientoAlEntornoUrbanoDeSanLazaro.pdf price updating from de http://repositorio.uchile.cl/bitstream/handle/2250/137671/An%C3%A1lisis%20costo-efectividad%20para%20una%20propuesta%20de%20areas%20verdes%20sustentables%20en%20el%20%C3%A1rea%20Metropolitana%20de%20Santiago%20%28AMS%29.pdf?sequence=1&isAllowed=y considering a credit of 20 years with a interest rate of 5%
CB03,Económico,Negativo,Costs,Maintenance,,Anual,m2,39000,39000,39000,2.9562375,2.6075,3.304975,ene-2021,dic-2059,,Lineal,,,,Extrapolation from http://repositorio.uchile.cl/bitstream/handle/2250/137671/An%C3%A1lisis%20costo-efectividad%20para%20una%20propuesta%20de%20areas%20verdes%20sustentables%20en%20el%20%C3%A1rea%20Metropolitana%20de%20Santiago%20%28AMS%29.pdf?sequence=1&isAllowed=y
CB05,Ambiental,Positivo,Externalities,Willingnes to pay near green space,,Anual,person,6000,6000,6000,33.13425,14.145,52.1235,ene-2021,dic-2059,1,Lineal,,,,Using real estate prices from https://www.leadingre.com/listings/ad7c9ab8-78e9-4c43-a365-f4486933db74/northwest-of-punta-gorda-punta-gorda-town-0 and WTP from https://blog.epa.gov/2014/04/17/willingness-to-pay-for-green-space/
CB06,Ambiental,Positivo,Externalities,Infiltration,1,Anual,hectare,3.9,3.9,3.9,3187.408492,3187.408492,3187.408492,ene-2021,dic-2059,1,Lineal,,,,Data from https://www.sciencedirect.com/science/article/pii/S0301479712000163
CB07,Ambiental,Positivo,Externalities,Air purification,,Anual,t PM,58.5,58.5,58.5,0,0,0,ene-2021,dic-2059,1,Lineal,,,,Reduction of emission from de https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf price is zero because good condition of air in Punta Gorda
CB08,Ambiental,Positivo,Externalities,Microweather (savings in AC),,Anual,household,1500,1500,1500,70,50,90,ene-2021,dic-2059,1,Lineal,,,,Considering 4 members per households and 6000 inhabitants_ the economic value is from https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf
CB09,Ambiental,Positivo,Externalities,Noise reduction,,Anual,household,1500,1500,1500,0,0,0,ene-2021,dic-2059,1,Lineal,,,,Noise is reduced in 2 dB but there is no precise estimate https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf
CB10,Ambiental,Positivo,Externalities,Water sewage,,Anual,hectare,0,0,0,0,0,0,ene-2021,dic-2059,1,Lineal,,,,No estimate available https://www.kth.se/social/upload/4ea53de1f27654240a000000/Bolund%20and%20Hunhammar%201999.pdf
