ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,
CB01,Económico,Negativo,Costos,Recolección,,Anual,ton,29200,29200,29200,1300,800,1800,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Llegar a 20% de reciclaje de residuos que es comparable a países desarrollados https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf costos de colecta
CB02,Económico,Negativo,Costos,Inversión inicial,,Inicial (única vez),lote,1,1,1,12000000,8000000,16000000,ene-2020,dic-2039,,Lineal,,,,https://www.am.com.mx/2018/10/07/local/entregan-centro-de-educacion-ambiental-primero-de-su-tipo-en-guanajuato-518756 y https://www.diariocordoba.com/noticias/cordobalocal/centro-educacion-ambiental-tendra-inversion-660-224_176679.html y http://www.milenio.com/estados/inauguraran-el-centro-de-educacion-ambiental
CB03,Económico,Negativo,Costos,O&M,,Anual,lote,1,1,1,2400000,1600000,3200000,ene-2020,dic-2039,,Lineal,,,,Supone 20% de la inversión inicial
CB04,Económico,Positivo,Externalidades,Costos evitados de disposición,,Anual,ton,29200,29200,29200,900,500,1300,ene-2020,dic-2039,1,Bass (Modelo de difusión),0.01,0.16,1,Se evita el costo de disposición de https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf
CB05,Económico,Positivo,Venta de materiales de reciclaje,Papel,,Anual,ton,5629.76,5629.76,5629.76,400,400,800,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Precios de https://www.supraciclaje.com/precios-hoy/ y cantidades de https://www.puertovallarta.gob.mx/comunicacion/gaceta/Gaceta%20Municipal%20-%20A1%20-%20No08.pdf
CB06,Económico,Positivo,Venta de materiales de reciclaje,Poliuretano,,Anual,ton,1016.16,1016.16,1016.16,1200,1200,1800,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Precios de https://www.supraciclaje.com/precios-hoy/ y cantidades de https://www.puertovallarta.gob.mx/comunicacion/gaceta/Gaceta%20Municipal%20-%20A1%20-%20No08.pdf
CB07,Económico,Positivo,Venta de materiales de reciclaje,Vidrio transparente,,Anual,ton,782.56,782.56,782.56,0,0,100,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Precios de https://www.supraciclaje.com/precios-hoy/ y cantidades de https://www.puertovallarta.gob.mx/comunicacion/gaceta/Gaceta%20Municipal%20-%20A1%20-%20No08.pdf
CB08,Económico,Positivo,Venta de materiales de reciclaje,Cartón,,Anual,ton,765.04,765.04,765.04,400,400,600,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Precios de https://www.supraciclaje.com/precios-hoy/ y cantidades de https://www.puertovallarta.gob.mx/comunicacion/gaceta/Gaceta%20Municipal%20-%20A1%20-%20No08.pdf
CB09,Económico,Positivo,Venta de materiales de reciclaje,Envase cartón encerado,,Anual,ton,598.6,598.6,598.6,400,400,600,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Precios de https://www.supraciclaje.com/precios-hoy/ y cantidades de https://www.puertovallarta.gob.mx/comunicacion/gaceta/Gaceta%20Municipal%20-%20A1%20-%20No08.pdf
CB10,Económico,Positivo,Venta de materiales de reciclaje,Lata,,Anual,ton,508.08,508.08,508.08,21000,21000,21000,ene-2020,dic-2039,,Bass (Modelo de difusión),0.01,0.16,1,Precios de https://www.supraciclaje.com/precios-hoy/ y cantidades de https://www.puertovallarta.gob.mx/comunicacion/gaceta/Gaceta%20Municipal%20-%20A1%20-%20No08.pdf
