ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,Fuentes
CB01,Económico,Positivo,Pago por servicios hidrológicos,Disponibilidad a pagar por servicios hidrológicos,1,Cada 2 meses,residente,1,1,1,103,103,103,ene-2020,dic-2020,,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/428628/Valoraci_n_Puerto_Vallarta-Publicaci_n_final_comprimido.pdf p. 88
CB02,Económico,Negativo,Costos,Costo de manejo,,Anual,m3,93.5495,84.6435,102.4555,5.023174343,5.023174343,5.023174343,ene-2020,dic-2020,1,Lineal,,,,Consumo de agua de https://www.informador.mx/Jalisco/Se-dispara-consumo-de-agua-en-la-zona-metropolitana-20170701-0084.html y valor económico de http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/derivada/economicas/medio%20ambiente/2006-2010/702825003388.pdf
