ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,Fuentes
CB17,Económico,Negativo,Inversión inicial,Instalación equipo nuevo (FLOURECENTES 50 Watts  por LED 50 Watts),,Inicial (única vez),equipo,4,4,4,2149.9,1934.91,2579.88,ene-2020,dic-2039,,Lineal,,,,https://ledlab.com.mx/wp-content/uploads/CAT%C3%81LOGO-P%C3%9ABLICO2019.pdf
CB55,Económico,Positivo,Reposición de equipos,Ahorro en reposición (FLOURECENTES 50 Watts  por LED 50 Watts),,Anual,equipo,4,4,4,38.92346151,35.03111536,46.70815381,ene-2020,dic-2039,,Lineal,,,,CONUEE
CB93,Económico,Positivo,Ahorros,Ahorro en consumo variable (FLOURECENTES 50 Watts  por LED 50 Watts),,Cada mes,kwh,0,0,0,2.152,1.503,2.801,ene-2020,dic-2039,,Lineal,,,,https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/Tarifas/tarifas_negocio.asp
CB131,Económico,Positivo,Ahorros,Ahorro en consumo distr. (FLOURECENTES 50 Watts  por LED 50 Watts),,Cada mes,kw,0,0,0,148.5,148.5,148.5,ene-2020,dic-2039,,Lineal,,,,https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/Tarifas/tarifas_negocio.asp
CB169,Ambiental,Positivo,Externalidades,Reducción emisiones (FLOURECENTES 50 Watts  por LED 50 Watts),,Cada mes,kgCO2,0,0,0,1.17,0.78,1.56,ene-2020,dic-2039,1,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/442910/Aviso_Factor_de_Emisiones_2018.pdf
