ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3,Fuentes
CB03,Económico,Negativo,Inversión inicial,Instalación equipo nuevo (INDUCCION 200 Watts  por LED 70 Watts),,Inicial (única vez),equipo,34,34,34,2706.628862,2435.965976,3247.954634,ene-2020,dic-2039,,Lineal,,,,https://ledlab.com.mx/wp-content/uploads/CAT%C3%81LOGO-P%C3%9ABLICO2019.pdf
CB41,Económico,Positivo,Reposición de equipos,Ahorro en reposición (INDUCCION 200 Watts  por LED 70 Watts),,Anual,equipo,34,34,34,121.9206379,109.7285741,146.3047654,ene-2020,dic-2039,,Lineal,,,,CONUEE
CB79,Económico,Positivo,Ahorros,Ahorro en consumo variable (INDUCCION 200 Watts  por LED 70 Watts),,Cada mes,kwh,1316.878049,-358.2439024,2992,2.152,1.503,2.801,ene-2020,dic-2039,,Lineal,,,,https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/Tarifas/tarifas_negocio.asp
CB117,Económico,Positivo,Ahorros,Ahorro en consumo distr. (INDUCCION 200 Watts  por LED 70 Watts),,Cada mes,kw,3.65799458,3.65799458,3.65799458,148.5,148.5,148.5,ene-2020,dic-2039,,Lineal,,,,https://app.cfe.mx/Aplicaciones/CCFE/Tarifas/Tarifas/tarifas_negocio.asp
CB155,Ambiental,Positivo,Externalidades,Reducción emisiones (INDUCCION 200 Watts  por LED 70 Watts),,Cada mes,kgCO2,693.9947317,693.9947317,693.9947317,1.17,0.78,1.56,ene-2020,dic-2039,1,Lineal,,,,https://www.gob.mx/cms/uploads/attachment/file/442910/Aviso_Factor_de_Emisiones_2018.pdf
